parameter;process;inputs;outputs
default;pow_photovoltaic_cts_faca;solar_radiation;elec_ren
default;pow_photovoltaic_cts_roof;solar_radiation;elec_ren
default;pow_photovoltaic_fiel_gm;solar_radiation;elec_ren
default;pow_photovoltaic_hh_balc;solar_radiation;elec_ren
default;pow_photovoltaic_hh_faca;solar_radiation;elec_ren
default;pow_photovoltaic_hh_roof;solar_radiation;elec_ren
default;pow_photovoltaic_ind_roof;solar_radiation;elec_ren
default;pow_storage_cts;elec;elec_ren,elec_conv
default;pow_storage_hh;elec;elec_ren,elec_conv
default;pow_storage_hydr;elec;elec_ren,elec_conv
default;pow_storage_hydr_closed_loop;elec;elec_ren,elec_conv
default;pow_storage_hydr_open_loop;elec;elec_ren,elec_conv
default;pow_storage_ind;elec;elec_ren,elec_conv
default;pow_storage_util;elec;elec_ren,elec_conv
default;pow_wind-turbine_off_fb;wind_energy_off;elec_ren
default;pow_wind-turbine_off_fl;wind_energy_off;elec_ren
default;pow_wind-turbine_on;wind_energy_on;elec_ren
default;x2x_export;elec_ren,elec_conv,hydrogen_ren,hydrogen_conv,natgas,SNG_ren,SNG_conv,biogas,diesel,syndiesel_ren,syndiesel_conv,gasoline,syngasoline_ren,syngasoline_conv,heating_oil,ammonia_ren,ammonia_conv,methanol,coal,crude_oil,biomass;
default;x2x_g2p_afc_ls;hydrogen_ren,hydrogen_conv,heat_low;elec_ren,elec_conv
default;x2x_g2p_pemfc_ls;hydrogen_ren,hydrogen_conv,heat_low;elec_ren,elec_conv
default;x2x_g2p_sofc_ls;hydrogen_ren,hydrogen_conv,heat_high;elec_ren,elec_conv
default;x2x_import;;elec_ren,elec_conv,hydrogen_ren,hydrogen_conv,natgas,SNG_ren,SNG_conv,biogas,diesel,syndiesel_ren,syndiesel_conv,gasoline,syngasoline_ren,syngasoline_conv,heating_oil,ammonia_ren,ammonia_conv,methanol,coal,crude_oil,biomass
default;x2x_other_daccs;elec_ren,elec_conv,heat_high;CO2
default;x2x_p2gas_aec;elec_ren,elec_conv,heat_low;hydrogen_ren,hydrogen_conv
default;x2x_p2gas_bioem;elec_ren,elec_conv;SNG_ren
default;x2x_p2gas_biom;elec_ren,elec_conv;SNG_ren
default;x2x_p2gas_pemec;elec_ren,elec_conv,heat_low;hydrogen_ren,hydrogen_conv
default;x2x_p2gas_sabm;elec_ren,elec_conv,heat_high;SNG_ren
default;x2x_p2gas_soec;elec_ren,elec_conv,heat_high;hydrogen_ren,hydrogen_conv
default;x2x_p2heat_eb;elec_ren,elec_conv;heat_high,heat_low
default;x2x_p2heat_hpl;elec_ren,elec_conv;heat_low,hot_water
default;x2x_storage_gas;biogas,natgas,SNG_ren,SNG_conv,hydrogen_ren,hydrogen_conv;biogas,natgas,SNG_ren,SNG_conv,hydrogen_ren,hydrogen_conv
default;x2x_x2gas_mpyr;natgas,biogas,SNG_ren,SNG_conv;hydrogen_ren,hydrogen_conv
default;x2x_x2gas_sr;natgas,biogas,SNG_ren,SNG_conv;hydrogen_ren,hydrogen_conv
default;x2x_x2liquid_ft;syngas_ren,syngas_conv;syndiesel_ren,syndiesel_conv,syngasoline_ren,syngasoline_conv,synkerosene_ren,synkerosene_conv
default;x2x_x2liquid_oref;crude_oil;heating_oil,gasoline,diesel,kerosene
