parameter;process;inputs;outputs
default;hea_hh_heater_hp_gro_dual_1;elec_ren,elec_conv,geothermal_heat;HH_space_heat_exo,HH_hot_water_exo
default;hea_hh_heater_soco_1,hea_hh_heater_boil_biomass_1;solar_radiation,biomass;HH_space_heat_exo,HH_hot_water_exo
default;hea_hh_heater_soco_1,hea_hh_heater_boil_cd_gas_1;solar_radiation,biogas,natgas,SNG_ren,SNG_conv;HH_space_heat_exo,HH_hot_water_exo
default;hea_hh_heater_soco_1,hea_hh_heater_boil_et_1;solar_radiation,elec_ren,elec_conv;HH_space_heat_exo,HH_hot_water_exo
default;hea_hh_heater_stov_wood_0;biomass;HH_space_heat_exo
default;hea_hh_heater_stov_wood_1;biomass;HH_space_heat_exo
default;hea_hh_water_heating_boil_et_1;elec_ren,elec_conv;HH_hot_water_exo
default;hea_main_distribution_district_heating_0;heat;district_heat_dis
default;hea_main_distribution_district_heating_1;heat;district_heat_dis
default;ind_aluminum_aluminabayer_0;elec,natgas;aluminum_alumina_mats
default;ind_aluminum_aluminabayer_1;elec,natgas,hydrogen,SNG;aluminum_alumina_mats
default;ind_aluminum_pri_0;elec,natgas,aluminum_alumina_mats;aluminum_exo
default;ind_aluminum_pri_1;elec,natgas,hydrogen,SNG,aluminum_alumina_mats;aluminum_exo
default;ind_aluminum_sec_0;elec,natgas,aluminum_scrap_mats;aluminum_exo
default;ind_aluminum_sec_1;elec,natgas,hydrogen,SNG,aluminum_scrap_mats;aluminum_exo
default;ind_ammonia_alkaline-electrolysis_1;chemical_alkaline-solution_mats,elec;chemical_H2_mats
default;ind_ammonia_haber-bosch_0;chemical_H2_mats,chemical_N2_mats,HTH;chemical_Ammonia_exo,heat_waste_ind
default;ind_ammonia_methane-pyrolysis_1;chemical_natgas_mats,elec;chemical_H2_mats
default;ind_ammonia_protonexchangemembrane_1;chemical_H2O_mats,elec;chemical_H2_mats
default;ind_ammonia_smr_0;chemical_natgas_mats,steam,natgas;chemical_syngas_mats,CO2_p,CO2_f,CH4_f,N2O_f
default;ind_bev_body_shop_0;elec,automobile_Parts-BEV_mats;automobile_assembled-body-BEV_mats
default;ind_bev_body_shop_1;elec,automobile_Parts-BEV_mats;automobile_assembled-body-BEV_mats
default;ind_bev_final_assembly_0;elec,natgas,automobile_painted-body-BEV_mats;automobile_BEV_exo,CO2_f,CH4_f,N2O_f
default;ind_bev_final_assembly_0;elec,natgas,automobile_painted-body-FCEV_mats;automobile_BEV_exo,CO2_f,CH4_f,N2O_f
default;ind_bev_final_assembly_0;elec,natgas,automobile_painted-body-CV_ind;automobile_CV_exo,CO2_f,CH4_f,N2O_f
default;ind_bev_paint_shop_0;elec,natgas,automobile_assembled-body-BEV_mats;automobile_painted-body-BEV_mats,CO2_f,CH4_f,N2O_f
default;ind_bev_paint_shop_1;elec,natgas,automobile_assembled-body-BEV_mats;automobile_painted-body-BEV_mats,CO2_f,CH4_f,N2O_f
default;ind_bev_parts_production_0;natgas,elec,coal,heavy_fuel_oil;automobile_Parts-BEV_mats,CO2_f,CH4_f,N2O_f
default;ind_btx_mta_1;chemical_methanol_mats,HTH;chemical_BTX_exo
default;ind_btx_steam-cracking_0;chemical_naptha_mats,HTH,steam;chemical_BTX_exo
default;ind_cement_finish_0;elec,cement_additives_mats,cement_clinker_mats;cement_exo
default;ind_cement_finish_1;elec,cement_additives_mats,cement_clinker_mats,cement_alternative_mats;cement_exo
default;ind_cement_novel_1;natgas,hydrogen,SNG,,biomass,waste,sludge,elec,cement_rawmeal_mats;cement_novelraw_mats
default;ind_cement_novelfinish_1;elec,cement_additives_mats,cement_novelraw_mats;cement_exo
default;ind_cement_rawmats_0;elec,cement_raw_mats;cement_rawmeal_mats
default;ind_cement_rawmats_1;elec,cement_raw_mats;cement_rawmeal_mats
default;ind_cement_rk_0;coal,coke,coke_oven_gas,heavy_fuel_oil,natgas,biomass,waste,sludge,elec,cement_rawmeal_mats;cement_clinker_mats,CO2p,CO2f,CH4f,N2Of
default;ind_cement_rk_1;coal,coke,coke_oven_gas,heavy_fuel_oil,natgas,hydrogen,SNG,biomass,waste,sludge,elec,cement_rawmeal_mats;cement_clinker_mats,CO2p,CO2f,CH4f,N2Of
default;ind_cement_rk_ccs_1;coal,coke,coke_oven_gas,heavy_fuel_oil,natgas,hydrogen,SNG,biomass,waste,sludge,elec,cement_rawmeal_mats;cement_clinker_mats,CO2p,CO2f,CH4f,N2Of
default;ind_chlorine_diaphragm-process_0;chemical_NaCl_mats,elec;chemical_chlorine_exo
default;ind_chlorine_membrane-process_0;chemical_NaCl_mats,elec;chemical_chlorine_exo,H2
default;ind_copper_pri_0;elec,natgas;copper_exo
default;ind_copper_pri_1;elec,natgas,hydrogen,SNG;copper_exo
default;ind_copper_sec_0;elec,natgas,copper_scrap_mats;copper_exo
default;ind_copper_sec_1;elec,natgas,hydrogen,SNG,copper_scrap_mats;copper_exo
default;ind_cv_body_shop_0;elec,automobile_Parts-CV_mats;automobile_assembled-body-CV_mats
default;ind_cv_body_shop_1;elec,automobile_Parts-CV_mats;automobile_assembled-body-CV_mats
default;ind_cv_paint_shop_0;elec,natgas,automobile_assembled-body-CV_mats;automobile_painted-body-CV_mats,CO2_f,CH4_f,N2O_f
default;ind_cv_paint_shop_1;elec,natgas,automobile_assembled-body-CV_mats;automobile_painted_body-CV_mats,CO2_f,CH4_f,N2O_f
default;ind_cv_parts_production_0;natgas,elec;automobile_Parts-CV_mats,CO2_f,CH4_f,N2O_f
default;ind_fcev_body_shop_0;elec,automobile_Parts-FCEV_mats;automobile_assembled-body-FCEV_mats
default;ind_fcev_body_shop_1;elec,automobile_Parts-FCEV_mats;automobile_assembled-body-FCEV_mats
default;ind_fcev_paint_shop_0;elec,natgas,automobile_assembled-body-FCEV_mats;automobile_painted-body-FCEV_mats,CO2_f,CH4_f,N2O_f
default;ind_fcev_paint_shop_1;elec,natgas,automobile_assembled-body-FCEV_mats;automobile_painted-body-FCEV_mats,CO2_f,CH4_f,N2O_f
default;ind_fcev_parts_production_0;natgas,elec,coal,heavy_fuel_oil;automobile_Parts_FCEV-mats,CO2_f,CH4_f,N2O_f
default;ind_glass_cont_batchplant_0;biogas,natgas,elec,glass_cont_raw_mats;glass_cont_batch_mats,CO2f,CH4f,N2Of
default;ind_glass_cont_batchplant_1;biogas,natgas,elec,glass_cont_raw_mats;glass_cont_batch_mats,CO2f,CH4f,N2Of
default;ind_glass_cont_forming_0;elec,glass_cont_melt_mats;glass_cont_exo
default;ind_glass_cont_forming_1;elec,glass_cont_melt_mats;glass_cont_exo
default;ind_glass_cont_fulle_1;elec,glass_cont_batch_mats,glass_cont_cullet_mats;glass_cont_melt_mats,waste_heat_ind,CO2p
default;ind_glass_cont_oxyf_1;biogas,natgas,biogas,SNG,elec,glass_cont_batch_mats,glass_cont_cullet_mats;glass_cont_melt_mats,waste_heat_ind,CO2p,CO2f,CH4f,N2Of
default;ind_glass_cont_oxyh_1;hydrogen,elec,glass_cont_batch_mats,glass_cont_cullet_mats;glass_cont_melt_mats,waste_heat_ind,CO2p
default;ind_glass_cont_recu_0;biogas,natgas,biogas,SNG,elec,glass_cont_batch_mats,glass_cont_cullet_mats;glass_cont_melt_mats,waste_heat_ind,CO2p,CO2f,CH4f,N2Of
default;ind_glass_cont_recu_1;biogas,natgas,biogas,SNG,elec,glass_cont_batch_mats,glass_cont_cullet_mats;glass_cont_melt_mats,waste_heat_ind,CO2p,CO2f,CH4f,N2Of
default;ind_glass_cont_rege_0;biogas,natgas,biogas,SNG,elec,glass_cont_batch_mats,glass_cont_cullet_mats;glass_cont_melt_mats,waste_heat_ind,CO2p,CO2f,CH4f,N2Of
default;ind_glass_cont_rege_1;biogas,natgas,biogas,SNG,elec,glass_cont_batch_mats,glass_cont_cullet_mats;glass_cont_melt_mats,waste_heat_ind,CO2p,CO2f,CH4f,N2Of
default;ind_glass_fibe_0;biogas,natgas,elec;glass_fibe_exo,CO2f,CH4f,N2Of
default;ind_glass_fibe_1;biogas,hydrogen,natgas,SNG,elec;glass_fibe_exo,CO2f,CH4f,N2Of
default;ind_glass_flat_batchplant_0;biogas,natgas,elec,glass_flat_raw_mats;glass_flat_batch_mats,CO2f,CH4f,N2Of
default;ind_glass_flat_batchplant_1;biogas,natgas,elec,glass_flat_raw_mats;glass_flat_batch_mats,CO2f,CH4f,N2Of
default;ind_glass_flat_forming_0;elec,glass_flat_melt_mats;glass_flat_exo
default;ind_glass_flat_forming_1;elec,glass_flat_melt_mats;glass_flat_exo
default;ind_glass_flat_fulle_1;elec,glass_flat_batch_mats;glass_flat_melt_mats,waste_heat_ind,CO2p
default;ind_glass_flat_oxyf_1;biogas,natgas,biogas,SNG,elec,glass_flat_batch_mats;glass_flat_melt_mats,waste_heat_ind,CO2p,CO2f,CH4f,N2Of
default;ind_glass_flat_oxyh_1;hydrogen,elec,glass_flat_batch_mats;glass_flat_melt_mats,waste_heat_ind,CO2p
default;ind_glass_flat_rege_0;biogas,natgas,biogas,SNG,elec,glass_flat_batch_mats;glass_flat_melt_mats,waste_heat_ind,CO2p,CO2f,CH4f,N2Of
default;ind_glass_flat_rege_1;biogas,natgas,biogas,SNG,elec,glass_flat_batch_mats;glass_flat_melt_mats,waste_heat_ind,CO2p,CO2f,CH4f,N2Of
default;ind_glass_spec_0;biogas,natgas,elec;glass_spec_exo,CO2f,CH4f,N2Of
default;ind_glass_spec_1;biogas,hydrogen,natgas,SNG,elec;glass_spec_exo,CO2f,CH4f,N2Of
default;ind_icev_body_shop_0;elec,automobile_Parts-ICEV_mats;automobile_assembled-body-ICEV_mats
default;ind_icev_body_shop_1;elec,automobile_Parts-ICEV_mats;automobile_assembled-body-ICEV_mats
default;ind_icev_final_assembly_0;elec,natgas,automobile_painted-body-ICEV_mats;automobile_ICEV_exo,CO2_f,CH4_f,N2O_f
default;ind_icev_paint_shop_0;elec,natgas,automobile_assembled-body-ICEV_mats;automobile_painted-body-ICEV_mats,CO2_f,CH4_f,N2O_f
default;ind_icev_paint_shop_1;elec,natgas,automobile_assembled-body-ICEV_mats;automobile_painted-body-ICEV_mats,CO2_f,CH4_f,N2O_f
default;ind_icev_parts_production_0;natgas,elec,coal,heavy_fuel_oil;automobile_Parts-ICEV_mats,CO2_f,CH4_f,N2O_f
default;ind_methanol_alkaline-electrolysis_1;chemical_alkaline-solution_mats,elec;chemical_H2_mats
default;ind_methanol_biomass-gassification_1;chemical_biomass_mats,chemical_O2_mats,steam;chemical_syngas_mats,CO2_p
default;ind_methanol_methane-pyrolysis_1;chemical_natgas_mats,elec;chemical_H2_mats
default;ind_methanol_proton-exchange-membrane_1;chemical_H2O_mats,elec;chemical_H2_mats
default;ind_methanol_smr_0;chemical_natgas_mats,steam,natgas;chemical_syngas_mats,CO2_p,CO2_f,CH4_f,N2O_f
default;ind_methanol_synthesis_0;chemical_syngas_mats,chemical_CO2_mats;chemical_Methanol_exo
default;ind_olifins_electric-cracking_1;chemical_naptha_mats,elec,steam;chemical_olifins_exo
default;ind_olifins_mto_1;chemical_methanol_mats,HTH;chemical_olifins_exo
default;ind_olifins_steam-cracking_0;chemical_naptha_mats,HTH,steam;chemical_olifins_exo,CO2_p
default;ind_olifins_steam-cracking_0;chemical_oil_mats,HTH,steam;chemical_olifins_exo,CO2_p
default;ind_paper_hchem_finish_0;elec,natgas,high_temperature_heat,LPG,paper_hq_pulp_mats,paper_hq_recycle_mats;paper_hq_exo
default;ind_paper_hchem_finish_1;elec,natgas,high_temperature_heat_,LPG,paper_hq_pulp_mats,paper_hq_recycle_mats;paper_hq_exo
default;ind_paper_hchem_pulp_0;elec,high_temperature_heat;paper_hq_pulp_mats,black_liquor
default;ind_paper_hchem_pulp_1;elec,high_temperature_heat;paper_hq_pulp_mats,black_liquor
default;ind_paper_lchem_finish_0;elec,natgas,high_temperature_heat,LPG,paper_lq_pulp_mats,paper_lq_recycle_mats;paper_lq_exo
default;ind_paper_lchem_finish_1;elec,natgas,high_temperature_heat,LPG,paper_lq_pulp_mats,paper_lq_recycle_mats;paper_lq_exo
default;ind_paper_lchem_pulp_0;elec,high_temperature_heat;paper_lq_pulp_mats,black_liquor
default;ind_paper_lchem_pulp_1;elec,high_temperature_heat;paper_lq_pulp_mats,black_liquor
default;ind_paper_lmech_finish_0;elec,low_quality_pulp_mats;paper_lq_exo
default;ind_paper_lmech_finish_1;elec,low_quality_pulp_mats;paper_lq_exo
default;ind_paper_lmech_pulp_0;elec;low_quality_pulp_mats
default;ind_paper_lmech_pulp_1;elec;low_quality_pulp_mats
default;ind_phev_body_shop_0;elec,automobile_Parts-PHEV_mats;automobile_assembled-body-PHEV_mats
default;ind_phev_body_shop_1;elec,automobile_Parts-PHEV_mats;automobile_assembled-body-PHEV_mats
default;ind_phev_final_assembly_0;elec,natgas,automobile_painted-body-PHEV_mats;automobile_PHEV_exo,CO2_f,CH4_f,N2O_f
default;ind_phev_paint_shop_0;elec,natgas,automobile_assembled-body-PHEV_mats;automobile_painted-body-PHEV_mats,CO2_f,CH4_f,N2O_f
default;ind_phev_paint_shop_1;elec,natgas,automobile_assembled-body-PHEV_mats;automobile_painted-body-PHEV_mats,CO2_f,CH4_f,N2O_f
default;ind_phev_parts_production_0;natgas,elec,coal,heavy_fuel_oil;automobile_Parts-PHEV_mats,CO2_f,CH4_f,N2O_f
default;ind_steel_blafu_0;elec,natgas,coal,coke,heavy_fuel_oil,steel_sinter_mats;steel_raw_iron_mats,blafu_gas,steel_blafu_slag_mats,CO2f,CH4f,N2Of
default;ind_steel_blafu_1;elec,natgas,hydrogen,SNG,coal,coke,heavy_fuel_oil,steel_sinter_mats;steel_raw_iron_mats,blafu_gas,steel_blafu_slag_mats,CO2f,CH4f,N2Of
default;ind_steel_blafu_ccs_1;elec,natgas,hydrogen,SNG,coal,coke,heavy_fuel_oil,steel_sinter_mats;steel_raw_iron_mats,blafu_gas,steel_blafu_slag_mats,CO2f,CH4f,N2Of
default;ind_steel_casting_0;elec,natgas,coke_oven_gas,steel_crudesteel_mats;steel_exo,CO2f,CH4f,N2Of
default;ind_steel_casting_1;elec,natgas,hydrogen,SNG,coke_oven_gas,steel_crudesteel_mats;steel_exo,CO2f,CH4f,N2Of
default;ind_steel_dirred_0;elec,natgas,hydrogen,SNG,steel_oxygen_mats,steel_sponge_iron_mats,steel_scrap_mats;steel_crudesteel_mats,CO2f,CH4f,N2Of
default;ind_steel_dirred_1;elec,natgas,hydrogen,SNG,steel_oxygen_mats,steel_sponge_iron_mats,steel_scrap_mats;steel_crudesteel_mats,CO2f,CH4f,N2Of
default;ind_steel_dirred_ccs_1;elec,natgas,hydrogen,SNG,steel_oxygen_mats,steel_sponge_iron_mats,steel_scrap_mats;steel_crudesteel_mats,CO2f,CH4f,N2Of
default;ind_steel_elefu_0;elec,natgas,steel_oxygen_mats,steel_scrap_mats;steel_crudesteel_mats,CO2f,CH4f,N2Of
default;ind_steel_elefu_1;elec,natgas,hydrogen,SNG,steel_oxygen_mats,steel_scrap_mats;steel_crudesteel_mats,CO2f,CH4f,N2Of
default;ind_steel_hyddri_1;elec,hydrogen,steel_oxygen_mats,steel_sponge_iron_mats,steel_scrap_mats;steel_crudesteel_mats
default;ind_steel_oxyfu_0;elec,natgas,steel_oxygen_mats,steel_raw_iron_mats,steel_scrap_iron_mats;steel_crudesteel_mats,CO2f,CH4f,N2Of
default;ind_steel_oxyfu_1;elec,natgas,hydrogen,SNG,steel_oxygen_mats,steel_raw_iron_mats,steel_scrap_iron_mats;steel_crudesteel_mats,CO2f,CH4f,N2Of
default;ind_steel_pellet_0;elec,coke,steel_iron_ore_mats;steel_iron_pellets_mats,CO2f,CH4f,N2Of
default;ind_steel_pellet_1;elec,coke,steel_iron_ore_mats;steel_iron_pellets_mats,CO2f,CH4f,N2Of
default;ind_steel_sinter_0;elec,natgas,coal,steel_iron_ore_mats;steel_sinter_mats,CO2f,CH4f,N2Of
default;ind_steel_sinter_1;elec,natgas,hydrogen,SNG,coal,steel_iron_ore_mats;steel_sinter_mats,CO2f,CH4f,N2Of
default;ind_steel_sponge_0;elec,natgas,steel_iron_ore_mats,steel_iron_pellets_mats;steel_sponge_iron_mats,CO2f,CH4f,N2Of
default;ind_steel_sponge_1;elec,natgas,hydrogen,SNG,steel_iron_ore_mats,steel_iron_pellets_mats;steel_sponge_iron_mats,CO2f,CH4f,N2Of
default;mob_air_fcev_pass_ag;hydrogen_ren,hydrogen_conv;pkm_air_exo
default;mob_air_fcev_pass_europ;hydrogen_ren,hydrogen_conv;pkm_air_europ_exo
default;mob_air_fcev_pass_natio;hydrogen_ren,hydrogen_conv;pkm_air_natio_exo
default;mob_air_hyb_pass_europ_hydrogen;"elec_ren,elec_conv,kerosene;synkerosene_ren,synkerosene_conv,biojet";pkm_air_europ_exo,CO2
default;mob_air_hyb_pass_hydrogen_ag;"elec_ren,elec_conv,kerosene;synkerosene_ren,synkerosene_conv,biojet";pkm_air_exo
default;mob_air_hyb_pass_natio_hydrogen;"elec_ren,elec_conv,kerosene;synkerosene_ren,synkerosene_conv,biojet";pkm_air_natio_exo,CO2
default;mob_air_ice_pass_europ_kerosene;"kerosene;synkerosene_ren,synkerosene_conv,biojet";pkm_air_europ_exo,CO2
default;mob_air_ice_pass_inter_kerosene;"kerosene;synkerosene_ren,synkerosene_conv,biojet";pkm_air_inter_exo,CO2
default;mob_air_ice_pass_kerosene_ag;"kerosene;synkerosene_ren,synkerosene_conv,biojet";pkm_air_exo,CO2
default;mob_air_ice_pass_natio_kerosene;"kerosene;synkerosene_ren,synkerosene_conv,biojet";pkm_air_natio_exo,CO2
default;mob_rail_bev_pass_ag;elec_ren,elec_conv;pkm_rail_exo
default;mob_rail_bev_pass_long;elec_ren,elec_conv;pkm_rail_long_exo
default;mob_rail_bev_pass_short;elec_ren,elec_conv;pkm_rail_short_exo
default;mob_rail_fcev_frei_ag;hydrogen_ren,hydrogen_conv;tkm_rail_exo
default;mob_rail_fcev_frei_long;hydrogen_ren,hydrogen_conv;tkm_rail_long_exo
default;mob_rail_fcev_frei_short;hydrogen_ren,hydrogen_conv;tkm_rail_short_exo
default;mob_rail_fcev_pass_ag;hydrogen_ren,hydrogen_conv;pkm_rail_exo
default;mob_rail_fcev_pass_long;hydrogen_ren,hydrogen_conv;pkm_rail_long_exo
